Celda	UTM[X]	UTM[Y]
1	501464	2126391
2	501464	2125791
3	501464	2125191
4	501464	2124591
5	501464	2123991
6	502064	2126391
7	502064	2125791
8	502064	2125191
9	502064	2124591
10	502064	2123991
11	502664	2126391
12	502664	2125791
13	502664	2125191
14	502664	2124591
15	502664	2123991
16	503264	2126391
17	503264	2125791
18	503264	2125191
19	503264	2124591
20	503264	2123991
21	503864	2126391
22	503864	2125791
23	503864	2125191
24	503864	2124591
25	503864	2123991
26	504464	2126391
27	504464	2125791
28	504464	2125191
29	504464	2124591
30	504464	2123991
